path_id,t,S,VS,delta_S,delta_V,gain_S,gain_V,tc,cum_pnl
0,0,100.0000,13.3333,0.5460,0.3838,0.0000,-0.0000,0.0002,-0.0002
0,1,101.7685,10.7476,0.6860,0.7204,-0.9566,-0.1284,0.0001,-1.0853
0,2,100.0163,10.4131,0.7085,0.8675,-2.8676,3.5406,0.0000,-0.4123
0,3,95.8364,15.3276,0.4921,0.3016,1.7236,4.6079,0.0002,5.9191
0,4,98.2692,20.6391,0.3618,-0.0701,-3.8403,2.7731,0.0001,4.8518
0,5,90.4649,29.8325,0.0742,-0.4828,-0.9671,0.3185,0.0002,4.2030
0,6,87.7923,25.2905,0.1670,-0.2284,-0.0315,1.2736,0.0001,5.4450
0,7,87.3683,22.6529,0.2254,-0.1869,-0.0241,0.8459,0.0000,6.2668
0,8,87.2239,18.9490,0.3271,-0.0191,0.2326,-0.1055,0.0001,6.3938
0,9,88.2559,19.5139,0.3220,-0.0580,-3.0611,-0.1169,0.0000,3.2157
0,10,78.8977,25.6428,0.0949,-0.3661,-0.5981,0.2233,0.0002,2.8408
0,11,77.0403,21.7923,0.1690,-0.1530,0.3573,-1.5509,0.0001,1.6471
0,12,80.8062,26.0281,0.0838,-0.3555,0.4387,0.9238,0.0001,3.0095
0,13,83.4015,19.9885,0.2381,-0.0778,-0.1826,-0.3402,0.0001,2.4866
0,14,81.2234,20.9455,0.2119,-0.1744,-0.5656,-0.0344,0.0000,1.8865
0,15,78.8481,21.3877,0.1732,-0.1759,-0.0346,0.3845,0.0000,2.2364
0,16,78.6849,19.1830,0.2255,-0.0918,0.0925,1.8712,0.0000,4.2001
0,17,79.2185,8.5432,0.5487,0.5026,-0.9388,-0.4847,0.0001,2.7764
0,18,75.0561,13.8237,0.4016,0.1643,2.3445,-2.6761,0.0001,2.4448
0,19,79.3288,8.4995,0.5937,0.5590,0.8948,-0.1759,0.0001,3.1637
0,20,81.5572,7.4287,0.6834,0.7581,0.3480,2.0906,0.0000,5.6023
0,21,82.1434,11.1685,0.5467,0.4357,0.7240,-1.8616,0.0001,4.4646
0,22,83.2027,8.7129,0.6218,0.5963,-3.2507,2.2064,0.0000,3.4202
0,23,77.2562,13.7767,0.4083,0.1726,4.0754,-4.5594,0.0001,2.9362
0,24,83.8109,6.1306,0.6660,0.7216,0.5555,-0.0566,0.0001,3.4350
0,25,85.1713,5.8031,0.7749,0.9540,1.3836,-1.9637,0.0000,2.8549
0,26,87.2489,3.0816,0.9463,1.3828,1.2349,0.1620,0.0000,4.2518
0,27,88.8425,3.2515,1.0145,1.5716,-2.4783,4.4534,0.0000,6.2269
0,28,86.2235,6.4721,0.8669,1.2209,3.5645,-3.5376,0.0001,6.2537
0,29,89.7370,4.2212,0.9335,1.3237,-2.8119,4.2169,0.0000,7.6586
1,0,100.0000,13.3333,0.5460,0.3838,-0.0000,0.0000,0.0002,-0.0002
1,1,94.9721,13.6282,0.5594,0.4070,-2.6101,3.1211,0.0000,0.5108
1,2,90.1914,21.7602,0.2973,-0.1752,2.1804,-2.4649,0.0002,0.2261
1,3,94.0889,15.7033,0.4829,0.2435,-0.6057,-0.1428,0.0001,-0.5226
1,4,92.0516,16.5186,0.4540,0.1605,-0.1751,0.8199,0.0000,0.1223
1,5,91.6890,19.8853,0.3494,-0.0445,0.6611,-0.1599,0.0001,0.6235
1,6,93.1453,18.8891,0.3768,0.0272,0.2496,0.1670,0.0000,1.0400
1,7,93.8596,15.1313,0.4928,0.2401,-0.2169,-0.0339,0.0001,0.7892
1,8,93.2839,13.8833,0.5279,0.3180,-2.0623,1.3661,0.0000,0.0929
1,9,89.0989,19.5738,0.3349,-0.0876,2.7685,-2.4915,0.0002,0.3698
1,10,94.3430,11.7395,0.5757,0.4314,0.1492,0.4546,0.0001,0.9735
1,11,94.7887,6.5496,0.7933,0.9922,-1.1598,-0.4122,0.0001,-0.5985
1,12,92.7741,5.5942,0.8935,1.3670,-1.3240,2.7210,0.0001,0.7984
1,13,91.1051,8.3368,0.7883,1.1658,2.8832,-2.6337,0.0000,1.0479
1,14,94.3320,6.4101,0.8657,1.3049,2.3759,0.1271,0.0000,3.5509
1,15,97.3458,6.5192,0.8911,1.3604,1.4455,2.2400,0.0000,7.2365
1,16,99.0157,8.2359,0.8216,1.1504,1.8261,-2.4031,0.0000,6.6594
1,17,101.0651,6.4693,0.8906,1.2641,0.2964,1.6968,0.0000,8.6526
1,18,101.4258,7.9443,0.8358,1.1133,0.5702,2.0385,0.0000,11.2613
1,19,102.0661,9.5568,0.7463,0.8239,2.3800,-1.7755,0.0001,11.8657
1,20,104.9135,7.9620,0.8066,0.9083,3.6681,-3.7603,0.0000,11.7735
1,21,109.8284,3.3980,1.0326,1.4775,-0.3770,-0.3558,0.0001,11.0406
1,22,109.3611,3.0063,1.1559,1.8531,2.5804,-0.2203,0.0000,13.4006
1,23,111.8599,2.8571,1.2432,2.0729,0.4810,0.2775,0.0000,14.1591
1,24,112.2761,3.0069,1.2847,2.1631,0.8870,-3.3988,0.0000,11.6473
1,25,112.9896,1.3672,1.3913,2.3843,0.3870,0.6564,0.0000,12.6907
1,26,113.2909,1.6707,1.4314,2.4588,3.9442,-3.9826,0.0000,12.6523
1,27,116.1257,0.0003,1.5453,2.6698,0.0104,2.1596,0.0000,14.8222
1,28,116.1330,0.8786,1.5558,2.6780,0.8202,0.9803,0.0000,16.6228
1,29,116.6638,1.2458,1.5424,2.6342,-3.0087,6.3423,0.0000,19.9564
2,0,100.0000,13.3333,0.5460,0.3838,-0.0000,0.0000,0.0002,-0.0002
2,1,90.2065,21.5544,0.3068,-0.1528,-1.2560,1.3574,0.0002,0.1010
2,2,87.9060,25.0912,0.1878,-0.2752,1.4506,0.2062,0.0001,1.7577
2,3,92.6343,23.7416,0.2406,-0.1813,0.4527,0.1924,0.0000,2.4028
2,4,95.0447,23.0426,0.2645,-0.1668,0.8469,0.6150,0.0000,3.8647
2,5,98.5649,19.6494,0.3770,0.0202,0.6688,0.3969,0.0001,4.9304
2,6,101.0933,17.2696,0.4660,0.1524,-0.1720,0.0700,0.0001,4.8284
2,7,100.6371,20.7329,0.3653,-0.0580,-4.0267,0.2328,0.0001,1.0344
2,8,91.9970,22.2602,0.2682,-0.1702,1.1507,0.2682,0.0001,2.4532
2,9,95.1466,17.6400,0.4068,0.0889,0.2771,-0.0774,0.0001,2.6528
2,10,96.1796,18.0948,0.4078,0.0528,0.5337,0.0907,0.0000,3.2772
2,11,97.4917,19.1149,0.3823,0.0001,-1.3217,0.2958,0.0000,2.2513
2,12,94.2506,24.7184,0.1924,-0.3054,0.6434,-0.0001,0.0001,2.8945
2,13,95.9335,24.1853,0.2060,-0.2161,-0.0856,-0.5076,0.0000,2.3013
2,14,95.4887,25.8474,0.1596,-0.2975,-0.6984,1.4633,0.0000,3.0662
2,15,92.0990,19.0760,0.3099,-0.0226,-0.6344,-0.3810,0.0001,2.0507
