tc_rate,objective,cvar_deep,mean_deep,std_deep,cvar_delta,mean_delta
0.0,CVaR,-20.342269897460938,-9.023599624633789,5.344348430633545,-15.659878730773926,-8.25774097442627
0.0,Variance,-20.055622100830078,-7.918845176696777,4.918803691864014,-15.843259811401367,-8.247655868530273
0.0,Entropic,-19.91008186340332,-8.846843719482422,5.184057235717773,-15.686480522155762,-8.283469200134277
0.0001,CVaR,-20.715049743652344,-9.023292541503906,5.46672248840332,-15.636981964111328,-8.197810173034668
0.0001,Variance,-19.60565185546875,-8.75342845916748,5.147218227386475,-15.663359642028809,-8.238990783691406
0.0001,Entropic,-20.87396812438965,-9.283557891845703,5.531919002532959,-16.069923400878906,-8.293220520019531
0.0005,CVaR,-20.35440444946289,-8.809749603271484,5.2933149337768555,-15.874625205993652,-8.301846504211426
0.0005,Variance,-19.867965698242188,-8.001324653625488,4.908483982086182,-15.951677322387695,-8.300816535949707
0.0005,Entropic,-20.188390731811523,-7.815958023071289,4.9318084716796875,-15.961919784545898,-8.288654327392578
0.001,CVaR,-20.998882293701172,-7.32004451751709,4.996471881866455,-16.08875846862793,-8.277290344238281
0.001,Variance,-20.944236755371094,-7.708015441894531,5.063807010650635,-15.960529327392578,-8.287679672241211
0.001,Entropic,-22.464332580566406,-6.674984931945801,5.417344570159912,-15.87656021118164,-8.180130958557129
0.005,CVaR,-21.052228927612305,-9.296245574951172,5.505617141723633,-15.717042922973633,-8.27584457397461
0.005,Variance,-20.890653610229492,-7.633275032043457,5.016549110412598,-15.977466583251953,-8.291467666625977
0.005,Entropic,-19.62163734436035,-8.335090637207031,5.056638240814209,-15.698319435119629,-8.21519660949707
0.01,CVaR,-19.6796817779541,-8.59843635559082,5.141256332397461,-15.64995288848877,-8.226893424987793
0.01,Variance,-23.062719345092773,-6.8498148918151855,5.43019437789917,-15.718279838562012,-8.310932159423828
0.01,Entropic,-19.86762046813965,-8.221586227416992,4.950536251068115,-15.697718620300293,-8.288902282714844
0.05,CVaR,-20.431259155273438,-7.824651718139648,4.983132839202881,-15.998414039611816,-8.366414070129395
0.05,Variance,-21.706787109375,-7.5620622634887695,5.1548967361450195,-15.907160758972168,-8.347267150878906
0.05,Entropic,-20.069957733154297,-8.6259765625,5.097073078155518,-16.428884506225586,-8.473881721496582
